-71,125,20,17,17,16,15,15,15,16,16,16,18,20,20,21,23,24,25,25,25,25,25,26,25,26,25,24,6,0,0,0,0,0,0,0,0,0,7,26,25,25,25,25,26,26,25,25,25,26,25,25,24,24,23,22,22,22,22,22,21,20,20,20,20,0
-71,125,20,19,20,20,20,20,20,20,21,23,24,25,25,26,27,28,29,28,29,29,28,28,28,28,27,27,7,0,0,0,0,0,0,0,0,0,6,23,22,23,23,23,23,23,23,23,23,24,24,23,21,22,21,21,20,20,19,20,21,21,21,19,18,0
-71,125,20,14,15,15,16,15,16,17,19,22,22,22,24,25,26,27,28,28,28,28,28,27,26,26,26,27,6,0,0,0,0,0,0,0,0,0,5,22,22,23,23,23,23,23,23,23,23,23,23,23,22,21,21,20,18,18,18,17,16,16,16,16,16,0
-70,125,20,19,19,18,18,18,19,18,19,21,21,20,21,23,24,25,26,26,26,26,26,25,25,25,25,25,7,0,0,0,0,0,0,0,0,0,6,25,25,26,26,26,26,27,26,27,27,27,27,26,25,25,25,25,24,24,23,23,23,23,22,23,23,0
-71,125,20,18,17,16,15,16,16,18,18,18,20,21,22,23,24,26,27,27,27,27,27,27,26,26,27,26,6,0,0,0,0,0,0,0,0,0,5,22,23,23,23,23,23,23,23,23,24,24,24,23,22,21,22,23,22,21,21,21,20,20,19,20,20,0
-70,125,20,21,21,20,19,20,20,20,19,21,22,23,25,26,26,26,28,28,30,29,28,27,27,28,28,27,7,0,0,0,0,0,0,0,0,0,6,23,24,23,24,25,25,25,24,24,24,25,25,25,25,25,25,24,23,24,24,23,22,23,23,24,24,0
-71,125,20,17,17,17,16,16,16,17,19,21,22,21,21,22,24,25,26,26,26,25,25,25,25,25,24,24,6,0,0,0,0,0,0,0,0,0,5,22,23,23,23,23,23,24,23,23,24,24,23,22,21,21,22,22,22,20,20,19,19,19,18,19,18,0
-70,125,20,18,18,17,17,17,18,18,18,18,20,21,21,22,24,25,25,26,26,26,26,26,26,26,25,26,6,0,0,0,0,0,0,0,0,0,6,24,24,24,25,25,25,25,25,25,25,26,26,26,25,24,25,24,23,23,23,23,23,22,22,22,22,0
-71,125,20,18,17,17,17,17,17,18,20,21,20,20,21,24,24,25,26,26,26,27,27,27,25,26,25,25,6,0,0,0,0,0,0,0,0,0,7,24,24,24,23,23,24,24,23,23,24,25,23,23,22,22,22,22,21,20,20,21,21,20,19,19,19,0
-71,125,20,15,16,17,16,16,17,18,20,21,22,22,23,24,26,28,29,29,29,28,28,27,27,27,26,27,6,0,0,0,0,0,0,0,0,0,5,24,24,24,24,24,24,24,24,24,24,24,23,22,21,20,20,19,19,18,17,17,17,17,18,17,16,0
-70,125,20,17,18,17,16,17,17,18,18,18,19,21,22,24,25,25,26,28,28,27,26,25,25,26,26,27,7,0,0,0,0,0,0,0,0,0,5,23,24,24,24,24,24,25,24,23,24,24,24,24,24,23,23,22,21,21,21,21,21,19,20,21,21,0
-71,125,20,15,15,14,13,14,15,16,17,17,19,20,20,22,23,24,25,25,25,26,26,26,26,26,25,24,6,0,0,0,0,0,0,0,0,0,6,23,22,22,23,23,22,22,22,23,23,23,22,21,20,20,20,20,18,17,17,16,17,17,17,15,15,0
-70,125,20,15,15,14,14,14,15,14,15,16,17,19,20,21,21,23,23,24,24,24,24,23,23,22,22,21,5,0,0,0,0,0,0,0,0,0,5,21,22,23,23,23,23,23,23,23,23,24,23,22,22,21,21,21,20,19,19,19,18,18,18,17,17,0
-70,125,20,17,17,17,17,18,19,18,18,18,20,23,24,25,26,27,28,28,28,28,28,28,28,27,26,27,7,0,0,0,0,0,0,0,0,0,6,24,24,24,24,25,25,25,24,24,24,25,25,24,23,23,23,22,21,22,21,20,21,20,20,20,19,0
-70,125,20,17,17,16,16,17,18,19,19,20,22,24,25,26,28,29,29,29,29,30,31,30,29,29,29,29,8,0,0,0,0,0,0,0,0,0,5,23,23,23,24,23,24,24,24,25,24,24,25,25,24,24,24,22,21,21,21,20,20,19,19,20,20,0
-70,125,20,20,19,19,19,18,20,19,21,23,23,23,23,25,26,27,27,28,28,28,27,28,28,28,27,27,7,0,0,0,0,0,0,0,0,0,6,23,24,25,24,24,24,24,24,24,25,24,24,23,23,23,22,21,22,21,20,20,21,22,21,21,21,0
-70,125,20,20,20,19,18,18,18,18,18,18,20,21,22,23,24,26,26,28,28,27,27,26,26,27,26,26,6,0,0,0,0,0,0,0,0,0,5,23,23,24,24,25,25,25,24,24,24,24,24,24,24,23,24,23,22,22,22,21,21,21,20,21,22,0
-71,125,20,17,16,15,16,17,17,17,17,18,18,21,22,23,24,25,26,27,27,26,26,26,26,25,25,26,6,0,0,0,0,0,0,0,0,0,5,23,24,24,24,24,25,24,23,23,23,24,24,23,23,23,22,20,19,20,20,20,19,18,18,19,19,0
-70,125,20,19,18,17,18,18,19,19,21,22,22,22,24,25,26,28,28,29,29,29,28,29,29,28,28,27,7,0,0,0,0,0,0,0,0,0,6,24,24,23,24,24,23,25,24,24,25,25,24,23,22,22,22,22,22,22,21,20,19,20,21,20,19,0
-70,125,20,17,17,17,18,18,18,19,21,23,23,23,24,25,26,27,28,28,29,28,28,28,27,28,28,28,7,0,0,0,0,0,0,0,0,0,5,24,23,24,23,23,23,23,23,23,23,24,24,23,22,21,21,21,20,20,20,20,19,19,18,19,18,0
-71,125,20,17,15,15,15,16,16,16,16,16,18,20,21,22,23,25,26,26,27,27,26,26,27,28,27,26,6,0,0,0,0,0,0,0,0,0,5,22,24,23,23,24,24,23,24,24,24,24,25,25,23,22,22,21,21,20,20,20,18,18,18,19,18,0
-71,125,20,17,16,15,16,16,16,17,19,20,19,20,23,23,24,25,26,26,26,27,27,27,26,27,27,26,6,0,0,0,0,0,0,0,0,0,6,23,24,23,23,24,24,24,24,24,23,24,24,24,24,24,23,22,21,21,21,20,20,19,20,20,20,0
-70,125,20,18,18,19,19,18,18,18,18,20,21,21,22,23,24,25,26,27,27,27,26,27,28,28,27,27,7,0,0,0,0,0,0,0,0,0,6,25,24,25,25,25,25,25,26,26,26,27,26,26,25,24,25,24,24,23,24,23,23,22,22,21,20,0
-70,125,20,17,16,16,16,17,18,19,20,21,21,21,22,23,24,25,26,26,26,26,26,26,25,25,24,25,6,0,0,0,0,0,0,0,0,0,5,23,22,23,23,23,23,23,23,24,24,24,24,23,22,21,22,21,21,20,19,20,19,19,19,19,19,0
-70,125,20,17,17,18,18,18,19,19,20,22,21,21,22,23,25,26,27,27,27,27,27,27,27,26,25,25,5,0,0,0,0,0,0,0,0,0,5,22,23,23,24,24,24,23,24,24,25,25,24,24,23,22,23,22,22,22,22,21,20,19,19,19,19,0
-71,125,20,17,17,17,17,16,17,17,18,20,21,21,22,24,25,26,27,28,28,29,28,28,28,27,27,26,7,0,0,0,0,0,0,0,0,0,7,24,24,24,25,25,25,24,24,24,25,25,25,24,23,23,23,23,22,21,21,20,20,21,20,20,19,0
